#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 5939, 3,KM4LKS,    -0.20, 3,   boost,    0.98,  94963.00,  543.58,   -0.53,    0.01, 21.9, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 5939, 3,KM4LKS,    -0.19, 3,   boost,   -0.98,  94960.00,  543.85,   -0.26,    0.01, 22.0, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 5939, 3,KM4LKS,    -0.18, 3,   boost,   -0.98,  94969.00,  543.06,   -1.05,    0.01, 21.9, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 5939, 3,KM4LKS,    -0.17, 3,   boost,    0.98,  94950.00,  544.72,    0.61,    0.01, 21.9, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 5939, 3,KM4LKS,    -0.16, 3,   boost,    0.49,  94943.00,  545.34,    1.23,    0.01, 22.0, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 5939, 3,KM4LKS,    -0.15, 3,   boost,   -1.96,  94952.00,  544.55,    0.44,    0.01, 22.0, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 5939, 3,KM4LKS,    -0.14, 3,   boost,    0.49,  94962.00,  543.67,   -0.44,    0.01, 22.0, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 5939, 3,KM4LKS,    -0.13, 3,   boost,    0.49,  94973.00,  542.71,   -1.40,    0.00, 22.0, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 5939, 3,KM4LKS,    -0.12, 3,   boost,   -2.45,  94943.00,  545.34,    1.23,    0.00, 21.9, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 5939, 3,KM4LKS,    -0.11, 3,   boost,    0.49,  94944.00,  545.25,    1.14,    0.00, 22.0, 4.15, 4.16, 4.16, 0, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,2147483647.0,2147483647.0,2147483647.0, 12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
