t_vec,mach,alt,q_conv,q_net,T_recovery,T_wall:x=0.0000,T_wall:x=0.0010,T_wall:x=0.0020,T_wall:x=0.0030,T_wall:x=0.0040,T_wall:x=0.0050,T_wall:x=0.0060,T_wall:x=0.0070,T_wall:x=0.0080,T_wall:x=0.0090,T_wall:x=0.0100
0.19,0.1765299,19.11066,54202.51199904584,54197.23211434936,340.2160275551066,291.1857796824746,290.91011355620844,290.68195659933497,290.4982042447602,290.354366377343,290.2450289806529,290.1643395543024,290.106443447876,290.0658124729712,290.03743119652074,290.01683272797794
0.195,0.18162565,20.17208,54168.428225244345,54163.07276993929,340.20790330888093,291.20264680596154,290.9265116036799,290.697283088637,290.5119809464701,290.3662744019202,290.25491698298157,290.17220679228876,290.1124026016543,290.0700405228263,290.0401174748784,290.0181324937566
0.2,0.1867214,21.2335,54134.620495089264,54129.190498015116,340.1997790649073,291.2192814248209,290.94270170116846,290.7124445144602,290.52564758172565,290.37813018890984,290.26480472917257,290.18011292243455,290.1184228411378,290.0743339217949,290.0428573416938,290.01946220066384
0.20500000000000002,0.19182765000000002,22.379780000000004,54099.91362732895,54094.41007730464,340.1910052942063,291.2356925868746,290.95869017601484,290.72744505681635,290.5392051279525,290.38993172004433,290.2746877897936,290.1880520927154,290.1244979776422,290.0786871390844,290.0456466942171,290.02081967636065
0.21,0.1969339,23.52606,54065.46626395382,54059.89012484182,340.1822315261317,291.25188597200963,290.97448355338634,290.7422885314896,290.5526546339867,290.4016771788092,290.28456207662356,290.1960188259223,290.13062216575827,290.08309490972414,290.04848160309365,290.02220283201086
0.215,0.2020504,24.72907,54030.490560005084,54024.84275864274,340.1730235424858,291.2678699464945,290.99008713153887,290.75697873439503,290.56599711470005,290.4133649535894,290.2944238061166,290.2040079971767,290.1367898875045,290.08755222939675,290.05135831323844,290.0236096644865
0.22,0.2071669,25.93208,53995.75839205504,53990.039830275084,340.1638155617324,291.28365018926286,291.00550674912853,290.77151902009683,290.5792336383103,290.42499358966234,290.3042694814121,290.2120148088866,290.142995937875,290.09205434767046,290.0542732430848,290.0250382573526
0.225,0.21229394999999998,27.19193,53960.4821102217,53954.693657427575,340.1541725240005,291.29923402963954,291.02074733228443,290.785912811412,290.5923651913736,290.43656179825695,290.31409586155024,290.2200347717934,290.1492354093837,290.09659676065485,290.0572229823551,290.0264867809129
0.23,0.217421,28.45178,53925.435546905464,53919.57805106875,340.14452948944074,291.31462633949224,291.0358141177354,290.8001632091453,290.6053928159932,290.4480684021352,290.3238999485224,290.2280636831421,290.1555036782013,290.1011752026226,290.0602042888515,290.02795349145435
0.23500000000000001,0.22255865000000002,29.768590000000003,53889.830766878105,53883.9050467791,340.13445047998164,291.32983371593417,291.0507114790508,290.8142733407552,290.6183174988266,290.4595123616279,290.33367895694425,290.2360976106665,290.1617963894353,290.1057856375223,290.0632140843096,290.029436729906
0.24,0.2276963,31.0854,53854.443527674324,53848.450383630465,340.12437147398776,291.34486036004637,291.0654441271662,290.82824602489313,290.63114026604285,290.47089273392044,290.34343030812187,290.24413287208097,290.1681094441148,290.1104242498383,290.06624944972197,290.0309349199918
0.245,0.23284444999999998,32.459285,53818.48555326437,53812.425759128644,340.1138556134718,291.3597122521856,291.080015943906,290.8420841146575,290.64386208289045,290.4822086911709,290.35315160708336,290.25216602218944,290.17443898492616,290.1150874356533,290.0693076200975,290.0324465660448
0.25,0.2379926,33.83317,53782.734335652225,53776.60864935698,340.1033397567278,291.374393019126,291.0944311803441,290.8557901666156,290.65648394732483,290.493459483529,290.36284063726964,290.26019383604176,290.1807813842615,290.1197717931491,290.07238597899925,290.03397025052175
0.255,0.24315140000000002,35.26424,53746.401237439386,53740.2103928012,340.09238620413726,291.38890811000886,291.1086932872057,290.8693667842394,290.66900679200006,290.50464445816647,290.3724953403125,290.26821329776,290.18713323142487,290.12447411365326,290.0754820527163,290.03550463134724
0.26,0.2483102,36.69531,53710.26531693914,53704.01003405616,340.0814326556389,291.4032606542067,291.12280611254624,290.88281628674315,290.6814315790242,290.51576302436314,290.3821138124838,290.27622158568226,290.1934913217235,290.12919137244,290.0785935044521,290.0370484390805
