t_vec,mach,alt,T_inf,qbar_inf,Re_inf,bl_state,q_conv,h_coeff,q_rad,q_net,T_e,T_recovery,T_t,T_te,T_wall:y=0.0000,T_wall:y=0.0011,T_wall:y=0.0022,T_wall:y=0.0033,T_wall:y=0.0044,T_wall:y=0.0056,T_wall:y=0.0067,T_wall:y=0.0078,T_wall:y=0.0089,T_wall:y=0.0100
0.05,0.019641616864161687,0.31281703328170335,288.1479666893837,27.362326195426498,91521.42234394031,0,-20.823560971342626,11.360029591729246,-8.11688303655618,-28.940444007898805,288.1479666893837,288.16671398370056,288.1701997896006,288.1701997896006,289.99976915342506,289.9999859638888,289.9999994467669,289.9999999850545,289.9999999997162,289.9999999999962,290.0,290.0,290.0,290.0
0.055,0.021505778550577857,0.34409873660987367,288.14776335833307,32.80252488202453,100207.32656504343,0,-21.74705361050074,11.886869980676439,-8.117637489053307,-29.864691099554044,288.14776335833307,288.1702380720611,288.1744169406372,288.1744169406372,289.99974017361126,289.99998260822116,289.9999992331326,289.9999999764127,289.9999999994788,289.99999999999164,289.99999999999994,290.0,290.0,290.0
0.06,0.023369940236994024,0.375380439938044,288.14756002728444,38.73562141532569,108893.18201071174,0,-22.62173840374835,12.391326701988664,-8.118389209731406,-30.740127613479757,288.14756002728444,288.17409989390956,288.17903462193226,288.17903462193226,289.99971057691397,289.9999788815143,289.9999989710261,289.99999996452647,289.9999999991066,289.99999999998334,289.99999999999983,290.0,290.0,290.0
0.065,0.025234101923410194,0.40666214326621436,288.14735669623786,45.16161031088345,117578.9886811024,0,-23.45215758910503,12.87603083984145,-8.11913845955732,-31.57129604866235,288.14735669623786,288.1782994485525,288.18405283263803,288.18405283263803,289.99968042230245,289.99997478503457,289.99999865587034,289.9999999487007,289.9999999985504,289.99999999996913,289.99999999999955,290.0,290.0,290.0
0.07,0.027098263609826364,0.43794384659438473,288.1471533651932,52.08048608428422,126264.74657637259,0,-24.241981762303038,13.343135147578453,-8.11988547266888,-32.36186723497192,288.1471533651932,288.1828367352965,288.1894715719066,288.1894715719066,289.9996497626833,289.9999703209039,289.9999982832486,289.99999992818687,289.9999999977511,289.9999999999462,289.99999999999903,290.0,290.0,290.0
0.075,0.02896242529624253,0.469225549922555,288.1469500341506,59.492243251147514,134950.45569667927,0,-24.994218455540665,13.79442760461116,-8.12063046121779,-33.114848916758454,288.1469500341506,288.187711753448,288.19529083888995,288.19529083888995,289.9996186459954,289.9999654919747,289.9999978489127,289.9999999021873,289.99999999663925,289.99999999991087,289.9999999999982,290.0,290.0,290.0
0.08,0.0308265869826587,0.5005072532507253,288.14674670311,67.39687632712592,143636.1160421796,0,-25.71136089993631,14.231412497527163,-8.121373619088885,-33.832734519025195,288.14674670311,288.19292450231376,288.20151063274034,288.20151063274034,289.99958711604967,289.99996030172616,289.9999973487886,289.9999998698594,289.99999999513443,289.9999999998583,289.99999999999676,289.99999999999994,290.0,290.0
0.085,0.03269074866907487,0.5317889565788957,288.1465433720714,75.79437982790503,152321.72761303076,0,-26.395496665250526,14.655369703402291,-8.12211512480727,-34.5176117900578,288.1465433720714,288.19847498120004,288.2081309526097,288.2081309526097,289.99955521318645,289.99995475417853,289.9999967789803,289.9999998303198,289.9999999931449,289.99999999978263,289.99999999999454,289.9999999999999,290.0,290.0
0.09,0.034554910355491034,0.563070659907066,288.14634004103476,84.6847482692035,161007.29040938985,0,-27.04838864126979,15.067398936568656,-8.122855143850664,-35.17124378512045,288.14634004103476,288.2043631894136,288.2151517976502,288.2151517976502,289.99952297479786,289.9999488538207,289.999996135772,289.99999978264844,289.99999999056723,289.99999999967656,289.99999999999113,289.9999999999998,290.0,290.0
0.095,0.036419072041907204,0.5943523632352363,288.1461367100002,94.06797616677302,169692.80443141385,0,-27.67153649483052,15.468453373059512,-8.12359383051588,-35.7951303253464,288.1461367100002,288.21058912626086,288.2225731670139,288.2225731670139,289.9994904357495,289.9999426055493,289.99999541562966,289.99999972589274,289.9999999872861,289.99999999953144,289.9999999999861,289.99999999999966,290.0,290.0
0.1,0.03828323478159553,0.6256342305124328,288.1459333779019,103.9440637539253,178378.27458428917,0,-28.266224397136092,15.859365830608985,-8.124331334070426,-36.39055573120652,288.1459333779019,288.2171527939013,288.2303950634344,288.2303950634344,289.9994576287252,289.9999360146163,289.9999946152008,289.9999996590712,289.99999998317423,289.99999999933686,289.9999999999788,289.99999999999943,290.0,290.0
0.105,0.040674032542515746,0.7388904468268109,288.14519721265384,117.33054015406395,189516.11674384223,0,-28.996800307552267,16.346954141226355,-8.127380864100804,-37.12418117165307,288.14519721265384,288.22558952893814,288.24053736561774,288.24053736561774,289.9994245845112,289.99992908658453,289.9999937313142,289.99999958117735,289.99999997809203,289.9999999990807,289.99999999996857,289.9999999999991,290.0,290.0
0.11,0.04306483030343597,0.8521466631411895,288.14446104743206,131.52740608372028,200653.73244055297,0,-29.684800102086506,16.82039990769814,-8.130428624567724,-37.815228726654226,288.14446104743206,288.23458173211804,288.25133841581675,288.25133841581675,289.99939114598345,289.9999218272889,289.9999927609784,289.99999949118325,289.99999997188786,289.999999998749,289.9999999999544,289.9999999999986,290.0,290.0
0.115,0.0454556280643562,0.9654028794555679,288.14372488223654,146.5346288888075,211791.12167706247,0,-30.331858390918725,17.280865525308393,-8.133474832056441,-38.46533322297517,288.14372488223654,288.244129399311,288.2627982089818,288.2627982089818,289.9993573620827,289.9999142397292,289.9999917013801,289.9999993880431,289.9999999643977,289.99999999832556,289.99999999993526,289.9999999999979,290.0,290.0
0.12,0.047846425825276415,1.078659095769946,288.14298871706717,162.3521759159517,222928.2844560118,0,-30.93934627858982,17.729362343805338,-8.136519691657826,-39.07586597024765,288.14298871706717,288.25423252638757,288.27491674006353,288.27491674006353,289.9993232791523,289.9999063275675,289.9999905498312,289.9999992706963,289.9999999554456,289.9999999977922,289.99999999990973,289.9999999999969,289.99999999999994,290.0
0.125,0.050237223586196644,1.1919153120843244,288.1422525519241,178.98001451249132,234065.22078004203,0,-31.50841829151527,18.166776796477006,-8.139563398516756,-39.647981690032026,288.1422525519241,288.264891109218,288.28769400401256,288.28769400401256,289.99928894128834,289.99989809506536,289.99998930377495,289.9999991380703,289.9999999448436,289.99999999712827,289.99999999987625,289.9999999999955,289.9999999999999,290.0
0.13,0.052628021347116874,1.305171528398703,288.14151638680727,196.4181120264774,245201.93065179454,0,-32.04004925727481,18.593890989905177,-8.142606139120957,-40.182655396395766,288.14151638680727,288.27610514367257,288.30112999577943,288.30112999577943,289.9992543906306,289.99988954702945,289.99998796079194,289.9999989890823,289.9999999323917,289.99999999631075,289.9999999998329,289.99999999999363,289.99999999999983,290.0
0.135,0.0550188191080371,1.4184277447130813,288.1407802217166,214.66643580667292,256338.41407390992,0,-32.53506363453887,19.01139912546132,-8.145648092376327,-40.6807117269152,288.1407802217166,288.2878746256216,288.3152247103147,288.3152247103147,289.9992196676057,289.99988068876314,289.999986518604,289.9999988226423,289.9999999178784,289.999999995314,289.9999999997774,289.9999999999911,289.9999999999997,290.0
