Time (sec),Mach Number,Altitude (ft)
0.0,0.01382292703898252,1789.0009694148423
0.01,0.014975808101369992,1789.157799943855
0.01,0.016617533197541553,1789.1155470372703
0.02,0.018804364724564922,1789.2078372463386
0.02,0.0214990942323218,1789.2922416618587
0.03,0.024569221890958143,1789.2644303225106
0.04,0.027797990013881946,1789.3437558722205
0.05,0.031662031159470125,1789.350339456196
0.06,0.03553993782813352,1789.3411697065633
0.07,0.0398400120017495,1789.4455135252426
0.08,0.04383025238403618,1789.523324035443
0.09,0.047836626319007564,1789.4846562668233
0.1,0.05185648012667404,1789.4122243236827
0.11,0.05589975898199905,1789.4824341196802
0.12,0.06030898128736702,1789.569498479353
0.13,0.06430387279302673,1789.7880404199323
0.14,0.06797578148363594,1790.1830310886344
0.15,0.07141280977741817,1790.3831392043314
0.16,0.07471507568699029,1790.635792900248
0.16,0.07797557339318868,1791.0140808628262
0.17,0.08129758803771366,1791.2045056464563
0.18,0.08477260926485324,1791.4131886965513
0.19,0.08849633891135612,1791.7006543745467
0.2,0.09257549953586576,1792.1086654187511
0.21,0.09710752763536952,1792.4098913597086
0.22,0.10131981579119598,1792.773351086921
0.23,0.10555539804372109,1793.2135139779134
0.24,0.10981842177535797,1793.7062524574799
0.25,0.11410359180605849,1794.2941497152124
0.26,0.11841518944867495,1794.7344611188778
0.27,0.12275237567011481,1795.2028369259567
0.28,0.127108159308989,1795.6953392569933
0.29,0.13148308795428373,1796.155255289113
0.3,0.1362536441162455,1796.7668495882112
0.31,0.14057259330622796,1797.5339181152613
0.32,0.14454664856934998,1798.0389128086
0.33,0.14828040853682814,1798.7268548540844
0.34,0.151875817734454,1799.291732265302
0.34,0.15542604997480217,1799.7212670389767
0.35,0.15903771895212668,1800.350957521212
0.36,0.16281377399269203,1800.8157791543576
0.37,0.16686281251679763,1801.3595235180915
0.38,0.17128616647201336,1802.0069268602147
0.39,0.17619032474770976,1802.4663093361883
0.4,0.18073151827584474,1802.799496274636
0.41,0.1852884401064257,1803.1813212089073
0.42,0.1898582195560239,1803.5005568439603
0.43,0.1944353716628366,1803.7748029827399
0.44,0.19902478851063493,1804.0283399181164
0.45,0.20362659740899386,1804.2463411349493
0.46,0.2082426468200084,1804.4027683670008
0.47,0.21288222934152828,1804.3767851479313
0.48,0.2175398491994812,1804.7317184892888
0.49,0.222222004863052,1804.8304394691006
0.5,0.22692757673600455,1804.7955754024633
0.51,0.23165250018624414,1804.8188233697947
0.52,0.2363850549224781,1804.9982170258486
0.53,0.24112453715082233,1804.9324762762521
0.54,0.24587899619133116,1804.8057735593472
0.55,0.2506396664422589,1804.8093429285923
0.56,0.2554149157995604,1804.6992680880685
0.57,0.2602038233543992,1804.513669010616
0.58,0.26499592622623713,1804.5896665958498
0.59,0.26980678681275755,1804.5940572764896
0.6,0.274635123319876,1804.1718281986014
0.61,0.27946635086225335,1803.7957058069107
0.62,0.28471727479857445,1802.998668779609
0.63,0.2894672836031765,1802.2922531529537
0.64,0.2938341187162983,1801.6117678006951
0.65,0.2979232539915361,1800.7226616131106
0.66,0.3018557969575154,1799.839134303113
0.66,0.3057407009152475,1798.7311441370755
0.67,0.3096880038899149,1797.6723274343674
0.68,0.31382108782307977,1796.2203242912358
0.69,0.31824416802857824,1794.827891263054
0.7,0.32306758161328913,1793.2061662322071
0.71,0.32841904154344614,1791.156554975691
0.72,0.33336536793142557,1788.850704025181
0.73,0.3383257190246372,1786.759856227765
0.74,0.3432924998712876,1784.64952249735
0.75,0.34825282896675047,1782.307853042583
0.76,0.35323442930846355,1779.6803186738268
0.77,0.35821973484296155,1777.3121859619241
0.78,0.3632133693510108,1774.7605370771364
0.79,0.3682295488881364,1772.295126748932
0.8,0.3732584209192632,1769.9902218260575
0.81,0.37830284381113316,1767.7257091963675
0.82,0.3833568028513435,1765.5401692793307
0.83,0.3884147069710281,1763.3956093986817
0.84,0.3934688397528121,1761.031561645385
0.85,0.3985135744333626,1758.9836510214357
0.86,0.40356351313402217,1756.7899538021613
0.87,0.4086022034089072,1754.627154481942
0.88,0.41364368821306335,1752.753915403581
0.89,0.4186903460590781,1750.6634300000223
0.9,0.42373149067731225,1748.8246884850178
0.91,0.42877317431413564,1746.8498777289637
0.92,0.43382846211511394,1745.218749284723
0.93,0.438864412350727,1743.3359342927276
0.94,0.4443223182610005,1742.1003805332393
0.95,0.4492567136288836,1740.8506772623234
