Time (sec),Mach Number,Altitude (ft)
0.0,0.0,2100.9801864189176
0.013,0.00023012319718364126,2107.6463991276946
0.023,0.002498375171206748,2114.387029352512
0.034,0.0051015239450302825,2121.2018236643275
0.044,0.00801434096864796,2128.0905286341012
0.054,0.010146331235031615,2135.0528908327888
0.064,0.012759463163076395,2142.088656831351
0.074,0.01581944981453602,2149.197573200744
0.084,0.019292004251164237,2156.3793865119274
0.094,0.023142839534714753,2163.5134063506193
0.104,0.027337668726941315,2170.721023056435
0.155,0.03184220488959765,2178.0019807843523
0.165,0.036622161084437485,2185.356023689346
0.175,0.04164325037321454,2192.7828959263898
0.185,0.04578381528162495,2200.2823416504616
0.195,0.050323474935825396,2207.8541050165345
0.205,0.05521869604947385,2215.4979301795843
0.215,0.06042594533622836,2223.2135612945863
0.225,0.06590168950974688,2230.890201714101
0.235,0.07160239528368743,2238.6392440187888
0.245,0.07748452937170804,2246.4604301461623
0.255,0.08350455848746666,2254.3535020337313
0.265,0.08849034035489647,2262.318201619008
0.275,0.09376207755023969,2270.354270839504
0.285,0.09926663977193553,2278.4846291484096
0.295,0.10495089671842325,2286.685608727921
0.305,0.11076171808814214,2294.956951980493
0.315,0.11664597357953138,2303.2984013085825
0.325,0.12255053248020789,2311.7096991146445
0.335,0.1284222648233551,2320.190587801132
0.345,0.13420804030454134,2328.7408097705024
0.355,0.139854728619335,2337.3601074252115
0.365,0.1453091994633045,2346.0482231677156
0.375,0.1505183225320182,2354.8666979558902
0.385,0.1540703022379253,2363.7528564127692
0.395,0.15755372882702987,2372.7064421804944
0.405,0.16207585230258548,2381.727198901207
0.415,0.1654498972164337,2390.814870217053
0.425,0.16902971575149028,2400.025925492384
0.435,0.17274888891416038,2409.3028142531234
0.445,0.17654099771084913,2418.6452812793427
0.455,0.1803396231479617,2428.053071351107
0.465,0.18527310786998444,2437.5259292484902
0.475,0.19030152340044146,2447.0635997515565
0.485,0.19536679988366992,2456.6658276403773
0.495,0.20041086746400708,2466.332357695024
0.505,0.20416503105638523,2476.0629346955598
0.515,0.20927757031874455,2485.8751537290914
0.525,0.2146668900267457,2495.7507304078613
0.535,0.22027331569470243,2505.68940987002
0.545,0.22603717283692865,2515.6909372537143
0.555,0.2318987869677381,2525.7550576970953
0.565,0.23779848360144462,2535.881516338311
